County,Drought_percent
alameda,100
alpine,100
amador,100
butte,100
calaveras,100
colusa,100
contra costa,100
del norte,0
el dorado,100
fresno,100
glenn,100
humboldt,0
imperial,100
inyo,100
kern,100
kings,100
lake,94.95
lassen,85.35
los angeles,100
madera,100
marin,0.53
mariposa,100
mendocino,10.33
merced,100
modoc,62.46
mono,100
monterey,100
napa,88.22
nevada,100
orange,100
placer,100
plumas,95.36
riverside,100
sacramento,100
san benito,100
san bernardino,95.32
san diego,100
san francisco,30.38
san joaquin,100
san luis obispo,100
san mateo,14.86
santa barbara,100
santa clara,99.91
santa cruz,52.44
shasta,0
sierra,100
siskiyou,0
solano,100
sonoma,6.37
stanislaus,100
sutter,100
tehama,57.63
trinity,0.25
tulare,100
tuolumne,100
ventura,100
yolo,100
yuba,100